No.,Name,Longitude,Latitude,Status Area,Fund Provider,Intermediaries [Roles],Beneficiaries,Location (focussed area),Duration (year),Commodity [solution-oriented],Ecosystem Services,More Info,Type of Financing
13,Bidoup-Nui Ba,108.5802682,12.19515198,National park,"USAID (VFBC Project); covers Vu Quang, Bidoup Nui Ba, Cat Tien, Cuc Phuong, Phong Nha-Ke Bang, Song Thanh, Bach Ma NPs & 7 nature reserves",WWF (main implementer); MARD (government oversight),"Forest communities (7,000 people targeted for improved economic benefits; 40 communities for sustainable value chains; 9 villages for community eco-tourism); local wildlife populations","Cuc Phuong National Park, Ninh Binh Province",2020 – 2025 (Unfinished),Conservation-friendly ecotourism enterprises; forest crime law enforcement & wildlife trade demand reduction,"Intact forest conservation, endangered wildlife stabilization & ecosystem protection (regulating & supporting)",https://vietnam.panda.org/en/our_work/wildlife/usaid_bca/,Bilateral Grant
14,Bidoup-Nui Ba,108.5802682,12.19515198,National Park,JICA & Government of Vietnam (local cost); 310M JPY planned / 306M JPY actual (~USD 2.8–3M),WWF (main implementer); MARD (government oversight),"~5,000 households (26,000 people) in/around the park; ethnic minority farmers in 5 buffer-zone villages (B'No B, Bon Dung I, Da Tro, Da Ra Hoa, Da Blah); park staff","70,038 hectares of subtropical alpine forest ecosystems in the northeastern part of Lam Dong Province, Viet Nam, focusing specifically on five target buffer-zone villages.",2010 – 2014,"Organic coffee; traditional hand-weaving; ecotourism (nature trails, Gong dances); agricultural inputs via Village Development Funds","Subtropical alpine forest vegetation preservation (1,933 plant & 422 animal species) & endangered wildlife conservation (supporting), forest coverage protection & slash-and-burn fire prevention (regulating)",https://www2.jica.go.jp/en/evaluation/pdf/2015_0800277_4_f.pdf,Bilateral Co-Financing
15,Binh Chau-Phuoc Buu,107.4905792,10.54212463,Nature Reserve,"Corporate consortium (Ricons, Newtecons, SOL E&C, BM Windows, BOHO, DB); full cost of 1,500-tree campaign (undisclosed)",Binh Chau–Phuoc Buu NR Management Board (technical guide on species selection),Binh Chau–Phuoc Buu Nature Reserve & local community,"Binh Chau–Phuoc Buu Nature Reserve, Xuyen Moc District, Ba Ria–Vung Tau Province",2025 (one-time intensive planting event),"1,500 Hopea odorata (Sao đen) saplings for vacant forest restoration",Coastal primeval forest reforestation & biodiversity balance restoration (supporting & regulating),https://boho.vn/he-sinh-thai-trong-1-500-cay-xanh-gop-phan-tai-tao-rung-tai-khu-bao-ton-binh-chau-phuoc-buu/,Corporate Sponsorship
16,Binh Chau-Phuoc Buu,107.4905792,10.54212463,Nature Reserve,EU (via CITES Secretariat) & Ba Ria-Vung Tau PPC co-financing; under master national CITES grant (not site-specific),CCD & CITES Management Authority (implementation/silvicultural advice); Management Board (on-site forest owner),Coastal forest guards; local community tourism workers; environmental science researchers,"Lowland and coastal forests of Xuyen Moc District, Ba Ria-Vung Tau",2019-2021,Tree labels; digital monitoring tech; community communication leaflets,"Wild D. oliveri population protection in coastal/lowland zones (supporting), coastal environment stabilization (regulating)",https://cites-tsp.org/sites/default/files/project_files/2023-01/Vietname_Management-and-conservation-plan-April-2022.pdf; https://cites-tsp.org/wp-content/uploads/2019/06/Vietnam-PCA-no-budget_compressed.pdf,Co-Financing / Grant
17,Bu Gia Map,107.1572386,12.17561803,National Park,EU (via CITES Secretariat) & Vietnam State Budget/PFES revenues; under master national CITES grant (not site-specific),CCD (executing partner); MARD/VNFOREST (national supervisors); Management Board (site manager),Local park rangers (upskilled in digital monitoring); scientific researchers; ethnic minority communities,Binh Phuoc Province core network,2019-2021,Labeled tree markers; digital real-time monitoring; Dalbergia oliveri seedling nurseries,"Wild D. oliveri tree protection (70,000–80,000 trees) (supporting), primary tropical forest & genetic resource safeguarding (regulating & supporting)",https://cites-tsp.org/sites/default/files/project_files/2023-01/Vietname_Management-and-conservation-plan-April-2022.pdf; https://cites-tsp.org/wp-content/uploads/2019/06/Vietnam-PCA-no-budget_compressed.pdf,Co-Financing / Grant
18,Cat Ba,107.0358745,20.79277527,National park; UNESCO-MAB Biosphere Reserve,"CEPF ($57,910); co-funders: Westfälischer Zoologischer Garten Münster ($120,000 + $60,000 in-kind + $15,000 admin), Seacology ($4,700); total ~$347,610",Westfälischer Zoologischer Garten (lead); Cat Ba NP & Biosphere Reserve (partners); DARD & Hai Phong PC (local authorities); ZGAP (technical advisor),Critically endangered Cat Ba langur (Trachypithecus poliocephalus); NP rangers & staff; local civil society & community protection members,"Cat Ba National Park & Cat Ba Archipelago, Hai Phong (~14,000 ha protected)",2010-2013,GPS ranger patrols & unannounced sea station inspections; Community Langur Protection Program; primate translocation; school environmental education,"Critically endangered Cat Ba langur extinction prevention & limestone karst biodiversity protection (supporting), forest habitat restoration & buffer zone fragmentation reduction (regulating & supporting)",https://www.cepf.net/grants/grantee-projects/cat-ba-langur-conservation-project,Co-Financing / Grant
19,Cat Ba,107.0358745,20.79277527,National park; UNESCO-MAB Biosphere Reserve,"Founding sponsors: Viet Nhat Steel, Shinec Shipbuilding, VPS-POSCO Steel, Le Quoc Co., Khanh Vinh Salt, Bach Dang Construction; additional donors: UNESCO Hanoi, Prof. Ockie Bosch & others","Management Council & Executive Board (operations/fundraising); Cat Ba Biosphere Reserve Management Board (transaction office, gov-business liaison)",5 student groups in Cat Ba Biosphere Reserve; international researchers; outstanding conservation organizations & individuals,"Cat Ba Archipelago World Biosphere Reserve, Cat Hai District, Hai Phong City",2010-2016,Investment loans & refundable capital; conservation prizes & commendations; scientific research sponsorship,Long-term biodiversity conservation (Cat Ba langur focus) & climate change adaptation (regulating & supporting),https://catbanationalpark.com/fund-sustainable-development,Corporate Sponsorship
20,Cat Ba,107.0358745,20.79277527,National park; UNESCO-MAB Biosphere Reserve,"CEPF (primary, $18,306) & CBLCP consortium co-funding; +$25,000 leveraged via FFI & Australian National University",FFI (grantee); Cat Ba NP (field ops/staffing); CBLCP (activity implementation); ANU (research & population monitoring),Critically endangered Cat Ba langur; park rangers & monitoring staff; Vietnamese scholars (MSc sponsorships & translated research dossiers),"Cat Ba National Park & UNESCO Cat Ba Archipelago Man & Biosphere Reserve (Cua Dong, Viet Hai, Cai Minh Tu & Sanctuary areas)",2014-2016,Cat Ba Langur Technical Working Group; population census & PVA modeling for translocations; PhD/MSc research projects; dossier translations,Priority globally threatened primate protection & limestone karst habitat viability assessment (supporting & regulating),https://www.cepf.net/resources/final-project-report/final-project-report-1487,Co-Financing / Grant
21,Cat Tien,107.3515719,11.56646094,National park,"USAID (VFBC Project); covers Vu Quang, Bidoup Nui Ba, Cat Tien, Cuc Phuong, Phong Nha-Ke Bang, Song Thanh, Bach Ma NPs & 7 nature reserves",WWF (main implementer); MARD (government oversight),"Forest communities (7,000 people targeted for improved economic benefits; 40 communities for sustainable value chains; 9 villages for community eco-tourism); local wildlife populations","Cuc Phuong National Park, Ninh Binh Province",2020 – 2025 (Unfinished),Conservation-friendly ecotourism enterprises; forest crime law enforcement & wildlife trade demand reduction,"Intact forest conservation, endangered wildlife stabilization & ecosystem protection (regulating & supporting)",https://vietnam.panda.org/en/our_work/wildlife/usaid_bca/,Bilateral Grant
22,Cat Tien,107.3515719,11.56646094,National Park,EU (via CITES Secretariat) & national/provincial environmental funds; under master national CITES grant (not site-specific),"CCD & CITES Management Authority (technical/admin); Management Board (field labeling, monitoring, nurseries)",Local enforcement teams; park rangers (trained in digital tracking); public/private scientific institutions,Natural distribution zones across Lam Dong and southern provinces,2019-2021,GPS mapping tools; concrete tree labels; real-time monitoring software; public communication packs,"Wild D. oliveri (140,000–160,000 trees) & overlapping D. cochinchinensis population protection (supporting)",https://cites-tsp.org/sites/default/files/project_files/2023-01/Vietname_Management-and-conservation-plan-April-2022.pdf; https://cites-tsp.org/wp-content/uploads/2019/06/Vietnam-PCA-no-budget_compressed.pdf,Co-Financing / Grant
23,Chu Mom Ray,107.6416713,14.47245764,National park,"German Government (BMZ/KfW); Small Grants Programme II (EUR 7.71M for 52 projects covering Hoang Lien, Kon Ka Kinh, Chu Mom Ray, Ba Be NPs)",ASEAN Centre for Biodiversity (ACB) & Frankfurt Zoological Society (FZS) — training & micro-grant providers,"Ethnic groups, women & youth in local communities","Sa Pa, Lao Cai Province",2017 – 2025,"Camera traps; biodiversity-based products (honey, green tea, handicrafts); ecotourism","Wildlife monitoring, forest ecosystem protection & sustainable resource use (regulating & supporting)",https://www.aseanbiodiversity.org/news-events-jobs/community-based-livelihood-and-conservation-project-for-asean-marks-successful-end-in-viet-nam/,Bilateral Grant
24,Chu Mom Ray,107.6416713,14.47245764,National Park,EU (via CITES Secretariat) & MOST research funds; under master national CITES grant (not site-specific),CCD & VNFOREST (mapping/baseline); Management Board (local enforcement & monitoring),Research networks; park management staff; regional forest owners,Western border mountain ranges of Kon Tum Province,2019-2021,Digital distribution maps; GPS tracking markers for mother trees; community law enforcement materials,"D. cochinchinensis & D. oliveri overlap zone preservation (supporting), illegal logging prevention along border landscape (regulating)",https://cites-tsp.org/sites/default/files/project_files/2023-01/Vietname_Management-and-conservation-plan-April-2022.pdf; https://cites-tsp.org/wp-content/uploads/2019/06/Vietnam-PCA-no-budget_compressed.pdf,Co-Financing / Grant
25,Copia,103.5970728,21.34966734,Nature Reserve,"JICA & Government of Vietnam/MARD; cost not in USD (total 2,254,638M VND)",MARD/MBFP (central owner); CPMB (central execution); Son La PPC/DARD (provincial owner); PPMB (provincial execution); SUFMB/NRMB (field implementation),"Local mountain communities, village working groups (Thai, H'mong); downstream water/hydropower users","Thuan Chau district, Son La Province (14,728 ha)",2016-2026,"Forestry: firewood, timber, pine resin. Livelihoods: medicinal plants (Ba Kich), bee-keeping, fodder grass, drying yards","Watershed protection (regulating), sub-montane evergreen biodiversity conservation (supporting), carbon sequestration via REDD+ (regulating)",https://openjicareport.jica.go.jp/pdf/12267654.pdf,Bilateral Co-Financing
26,Cuc Phuong,105.6070626,20.32488391,National park,"Japan Social Development Fund (JSDF); $316,200",World Bank (administrator); local conservation NGOs & park management (implementers),High natural-resource-dependency villages in Pu Luong–Cuc Phuong area; local students,"Pu Luong–Cuc Phuong Limestone Landscape, Ninh Binh & Thanh Hoa Provinces",N/A,Community-Based Natural Resource Management (CBNRM); school curriculum integration; ecotourism development; poverty alleviation initiatives,"Limestone karst ecosystem protection & watershed preservation, cultural landscape maintenance (supporting & regulating & cultural)",https://documents1.worldbank.org/curated/en/140231520246340302/pdf/123872-FP-Vietnam-Community-based-management-of-Pu-Luong-Cuc-Phuong-limestone-landscape.pdf,Multilateral Grant
27,Cuc Phuong,105.6070626,20.32488391,National park,"USAID (VFBC Project); covers Vu Quang, Bidoup Nui Ba, Cat Tien, Cuc Phuong, Phong Nha-Ke Bang, Song Thanh, Bach Ma NPs & 7 nature reserves",WWF (main implementer); MARD (government oversight),"Forest communities (7,000 people targeted for improved economic benefits; 40 communities for sustainable value chains; 9 villages for community eco-tourism); local wildlife populations","Cuc Phuong National Park, Ninh Binh Province",2020 – 2025 (Unfinished),Conservation-friendly ecotourism enterprises; forest crime law enforcement & wildlife trade demand reduction,"Intact forest conservation, endangered wildlife stabilization & ecosystem protection (regulating & supporting)",https://vietnam.panda.org/en/our_work/wildlife/usaid_bca/,Bilateral Grant
28,Dakrong,107.037916,16.555102,Nature Reserve,USAID (VFBC Project),"WWF, Helvetas Vietnam, MARD & provincial governments (implementers & partners)",Forest-dependent communities in Dakrong District; local businesses (Tan Hop Cooperative); Dakrong Nature Reserve authorities,"Dakrong Nature Reserve, Quang Tri Province",2020 – 2025 (Unfinished),"NTFP value chains; high-value crops (passion fruit, clean coffee); community-based ecotourism; improved wildlife crime law enforcement","Biodiversity conservation & forest quality maintenance, endemic rare plant discovery & protection (Begonia laxiflora) (supporting & regulating)",https://mongolia.panda.org/?388876/USAIDhelpsdiscoverBegonialaxiflora,Bilateral Grant
29,Dong Nai,107.056973,11.291091,Nature Reserve,HEINEKEN Vietnam & Government of Vietnam; ~VND 30B (~USD 1.3M),WWF-Vietnam (technical implementer); MARD (government oversight),Local communities in core/buffer zones; downstream agricultural workers,"Dong Nai Culture & Nature Reserve, Xuan Son NP & Dong Thap Muoi (1,100 ha target area)",2022 – 2025,Water replenishment (3 billion liters restored); large native timber reforestation,"Freshwater ecosystem restoration, watershed protection & hydrological cycle regulation (provisioning & regulating)",https://heineken-vietnam.com.vn/en/news-events/press-release/heineken-vietnam-invests-vnd-30-billion-teaming-up-with-wwf-vietnam-on-water-conservation-program-in-red-dong-nai-and-tien-river-basins.html,Public-Private Partnership
30,Dong Nai,107.056973,11.291091,Nature Reserve,EU (via CITES Secretariat) & local PFES revenues from water/power utilities; under master national CITES grant (not site-specific),CCD (spatial mapping & threat evaluation); Management Board (local execution coordinator),Local eco-tourism operators; upskilled forestry rangers; community watershed protection teams,Southern woodland complexes of Dong Nai Province,2019-2021,Smartphone real-time monitoring software; spatial heatmaps; tree labels; nursery tools,"D. cochinchinensis & D. oliveri co-distributed population protection (supporting), carbon storage & regional water resource preservation (regulating)",https://cites-tsp.org/sites/default/files/project_files/2023-01/Vietname_Management-and-conservation-plan-April-2022.pdf; https://cites-tsp.org/wp-content/uploads/2019/06/Vietnam-PCA-no-budget_compressed.pdf,Co-Financing / Blended
31,Du Gia,105.153149,22.901542,National Park,"CEPF ($110,000 core grant); co-financing from Denver Zoo (research support) & unnamed donor (matching $3,000 micro-credit revolving fund, totaling $6,000 for corridor livelihoods)","FFI (lead grantee — execution, training, ground staff); Du Gia–Dong Van NP Management Board (implementation — forest contracts, METT reporting); Ha Giang DARD (provincial partner); Ha Giang FPD (patrol coordination); Women's Union (livelihood support)","SMT (6 part-time patrol members, Khau Ca — training & smartphone data tools); 5 Hmong households in Din Dam corridor (labor payments, microfinance, livestock materials); Park Management Staff & Rangers (capacity-building, SMART monitoring)","Project Area Covered

Covers the 2,026-hectare Khau Ca Species and Habitat Conservation Area (SHCA) and the Din Dam degraded forest corridor linking it to the wider national park. Interventions touch upon the Tung Ba, Minh Son, and Yen Dinh communes",2023-2025,"Smartphone data tools (SMART, Mergin Maps); shared $6,000 micro-credit facility; native trees for corridor enrichment; livestock packages (chickens, coop materials, vet supplies)","Tonkin snub-nosed monkey stronghold habitat security (~80% global population) (supporting), Khau Ca migration corridor restoration (regulating), PFES-linked forest protection contracts for local households (provisioning)",https://www.cepf.net/resources/documents/safeguard-process-framework-190,Co-Financing / Grant
32,Ea so,108.5957634,12.95964179,Nature Reserve,EU (via CITES Secretariat) & MONRE biodiversity/environmental funds; under master national CITES grant (not site-specific),"CCD (taxonomy, mapping, technical planning); Management Board (local patrolling)",Wildlife protection staff; regional research institutes; community border buffer zone residents,Transitional forest landscapes of Dak Lak Province,2022 - 2035,Labeled tree inventory markers; GPS positioning toolsets; anti-poaching signage,"D. cochinchinensis & D. oliveri population protection against logging syndicates (supporting), human footprint mitigation (regulating)",https://cites-tsp.org/sites/default/files/project_files/2023-01/Vietname_Management-and-conservation-plan-April-2022.pdf; https://cites-tsp.org/wp-content/uploads/2019/06/Vietnam-PCA-no-budget_compressed.pdf,Co-Financing / Grant
33,Hang Kia-Pa Co,104.9167813,20.72906275,Nature Reserve,"JICA & Government of Vietnam/MARD; cost not in USD (total 2,254,638M VND)",MARD/MBFP (central owner); CPMB (central execution); Hoa Binh PPC/DARD (provincial owner); PPMB (provincial execution); SUFMB/NRMB (field operations),"Mountainous local households, village working groups (Muong, Thai, H'mong), downstream entities","Mai Chau district, Hoa Binh Province (High limestone ridge up to 1,536m)",2016-2026,"Forestry: firewood, subsidiary timber, resin. Livelihoods: medicinal plants (Ba Kich), bee-keeping, fodder grass, crop-drying","Flash flood mitigation & climate regulation (regulating), limestone species corridor connectivity & orchid protection (supporting)",https://openjicareport.jica.go.jp/pdf/12267654.pdf,Bilateral Co-Financing
34,Hoang Lien,103.870631,22.238499,National park,"German Government (BMZ/KfW); Small Grants Programme II (EUR 7.71M for 52 projects covering Hoang Lien, Kon Ka Kinh, Chu Mom Ray, Ba Be NPs)",ASEAN Centre for Biodiversity (ACB) & Frankfurt Zoological Society (FZS) — training & micro-grant providers,"Ethnic groups, women & youth in local communities","Sa Pa, Lao Cai Province",2017 – 2025,"Camera traps; biodiversity-based products (honey, green tea, handicrafts); ecotourism","Wildlife monitoring, forest ecosystem protection & sustainable resource use (regulating & supporting)",https://www.aseanbiodiversity.org/news-events-jobs/community-based-livelihood-and-conservation-project-for-asean-marks-successful-end-in-viet-nam/,Bilateral Grant
35,Ke Go,105.968029,18.093212,Nature Reserve,"CEPF & IUCN ($40,000 total; $38,028.68 expended)",Viet Nature Conservation Centre (grantee/lead implementer); Vietnam Pheasant SRT & BirdLife International (technical advisory); Forest Management Units (field collaboration),Ke Go NR Management Board; Vietnam Pheasant Species Recovery Team; local skilled hunters/collectors engaged as field guides,"Ke Go Nature Reserve, Hà Tĩnh Province",2021-2023,"255 camera trap stations (7,500 ha coverage); on-the-job ranger training; community interview frameworks; forest habitat & human impact assessments","Lowland evergreen broadleaf forest habitat assessment & Vietnam Pheasant reintroduction siting, threatened species baseline recording (Sunda Pangolin, Annamite taxa) (supporting & regulating)",https://www.cepf.net/grants/grantee-projects/search-vietnam-pheasant-ke-go-nature-reserve-ha-tinh-province-vietnam,NGO Grant
